NDVIDate,NDVI,NDVI_Footprint
1-May-08,-0.03,-0.03
2-May-08,-0.03,-0.03
3-May-08,-0.03,-0.03
4-May-08,-0.03,-0.03
5-May-08,-0.03,-0.03
6-May-08,-0.03,-0.03
7-May-08,-0.032,-0.032
8-May-08,-0.032,-0.032
9-May-08,-0.033,-0.033
10-May-08,-0.038,-0.038
11-May-08,-0.038,-0.038
12-May-08,-0.039,-0.039
13-May-08,-0.04,-0.04
14-May-08,-0.041,-0.041
15-May-08,-0.048,-0.048
16-May-08,-0.064,-0.064
17-May-08,-0.06,-0.06
18-May-08,-0.049,-0.049
19-May-08,-0.047,-0.047
20-May-08,-0.049,-0.049
21-May-08,-0.049,-0.049
22-May-08,-0.049,-0.049
23-May-08,-0.05,-0.05
24-May-08,-0.051,-0.051
25-May-08,-0.052,-0.052
26-May-08,-0.047,-0.047
27-May-08,-0.037,-0.037
28-May-08,-0.019,-0.019
29-May-08,-0.02,-0.02
30-May-08,,
31-May-08,0.165,0.165
1-Jun-08,0.197,0.197
2-Jun-08,0.196,0.196
3-Jun-08,0.217,0.217
4-Jun-08,0.244,0.244
5-Jun-08,0.247,0.247
6-Jun-08,0.253,0.253
7-Jun-08,0.265,0.265
8-Jun-08,0.277,0.277
9-Jun-08,0.285,0.285
10-Jun-08,0.29,0.29
11-Jun-08,0.291,0.291
12-Jun-08,0.309,0.309
13-Jun-08,0.318,0.318
14-Jun-08,0.329,0.329
15-Jun-08,0.336,0.336
16-Jun-08,0.354,0.354
17-Jun-08,0.361,0.361
18-Jun-08,0.372,0.372
19-Jun-08,0.383,0.383
20-Jun-08,0.388,0.388
21-Jun-08,0.389,0.389
22-Jun-08,0.395,0.395
23-Jun-08,0.398,0.398
24-Jun-08,0.406,0.406
25-Jun-08,0.407,0.407
26-Jun-08,0.412,0.412
27-Jun-08,0.415,0.415
28-Jun-08,0.424,0.424
29-Jun-08,0.432,0.432
30-Jun-08,0.445,0.445
1-Jul-08,0.445,0.445
2-Jul-08,0.447,0.447
3-Jul-08,0.459,0.459
4-Jul-08,0.46,0.46
5-Jul-08,0.464,0.464
6-Jul-08,0.465,0.465
7-Jul-08,0.467,0.467
8-Jul-08,0.47,0.47
9-Jul-08,0.475,0.475
10-Jul-08,0.476,0.476
11-Jul-08,0.474,0.474
12-Jul-08,0.474,0.474
13-Jul-08,0.473,0.473
14-Jul-08,0.47,0.47
15-Jul-08,0.469,0.469
16-Jul-08,0.462,0.462
17-Jul-08,0.474,0.474
18-Jul-08,0.473,0.473
19-Jul-08,0.473,0.473
20-Jul-08,0.473,0.473
21-Jul-08,0.479,0.479
22-Jul-08,0.491,0.491
23-Jul-08,0.483,0.483
24-Jul-08,0.484,0.484
25-Jul-08,0.484,0.484
26-Jul-08,0.485,0.485
27-Jul-08,0.485,0.485
28-Jul-08,0.484,0.484
29-Jul-08,0.489,0.489
30-Jul-08,0.489,0.489
31-Jul-08,0.489,0.489
1-Aug-08,0.493,0.493
2-Aug-08,0.494,0.494
3-Aug-08,0.501,0.501
4-Aug-08,0.477,0.477
5-Aug-08,0.479,0.479
6-Aug-08,0.51,0.51
7-Aug-08,0.542,0.542
8-Aug-08,0.514,0.514
9-Aug-08,0.522,0.522
10-Aug-08,0.522,0.522
11-Aug-08,0.523,0.523
12-Aug-08,0.523,0.523
13-Aug-08,0.523,0.523
14-Aug-08,0.506,0.506
15-Aug-08,0.506,0.506
16-Aug-08,0.506,0.506
17-Aug-08,0.507,0.507
18-Aug-08,0.463,0.463
19-Aug-08,0.461,0.461
20-Aug-08,0.459,0.459
21-Aug-08,0.419,0.419
22-Aug-08,0.407,0.407
23-Aug-08,0.405,0.405
24-Aug-08,0.403,0.403
25-Aug-08,0.366,0.366
26-Aug-08,0.366,0.366
27-Aug-08,0.378,0.378
28-Aug-08,0.372,0.372
29-Aug-08,0.372,0.372
30-Aug-08,0.373,0.373
31-Aug-08,0.373,0.373
1-Sep-08,0.374,0.374
2-Sep-08,0.374,0.374
3-Sep-08,0.368,0.368
4-Sep-08,0.369,0.369
5-Sep-08,0.371,0.371
6-Sep-08,0.372,0.372
7-Sep-08,0.374,0.374
8-Sep-08,0.393,0.393
9-Sep-08,0.393,0.393
10-Sep-08,0.408,0.408
11-Sep-08,0.39,0.39
12-Sep-08,0.376,0.376
13-Sep-08,0.381,0.381
14-Sep-08,0.38,0.38
15-Sep-08,0.381,0.381
16-Sep-08,0.38,0.38
17-Sep-08,0.38,0.38
18-Sep-08,0.379,0.379
19-Sep-08,0.379,0.379
20-Sep-08,0.379,0.379
21-Sep-08,0.38,0.38
22-Sep-08,0.38,0.38
23-Sep-08,0.38,0.38
24-Sep-08,0.376,0.376
25-Sep-08,0.375,0.375
26-Sep-08,-0.028,-0.028
27-Sep-08,-0.026,-0.026
28-Sep-08,-0.026,-0.026
29-Sep-08,-0.026,-0.026
30-Sep-08,-0.026,-0.026
1-Oct-08,-0.033,-0.033
2-Oct-08,-0.034,-0.034
3-Oct-08,-0.034,-0.034
4-Oct-08,-0.031,-0.031
5-Oct-08,-0.031,-0.031
6-Oct-08,-0.032,-0.032
7-Oct-08,-0.032,-0.032
8-Oct-08,-0.032,-0.032
9-Oct-08,-0.032,-0.032
10-Oct-08,-0.034,-0.034
11-Oct-08,-0.01,-0.01
12-Oct-08,-0.01,-0.01
13-Oct-08,-0.01,-0.01
14-Oct-08,-0.01,-0.01
15-Oct-08,-0.008,-0.008
16-Oct-08,-0.009,-0.009
17-Oct-08,-0.035,-0.035
18-Oct-08,-0.032,-0.032
19-Oct-08,-0.031,-0.031
20-Oct-08,,
21-Oct-08,,
22-Oct-08,,
23-Oct-08,,
24-Oct-08,,
25-Oct-08,,
26-Oct-08,,
27-Oct-08,,
28-Oct-08,,
29-Oct-08,,
30-Oct-08,,
31-Oct-08,,
1-Nov-08,,
2-Nov-08,,
3-Nov-08,,
4-Nov-08,,
5-Nov-08,,
6-Nov-08,,
7-Nov-08,,
8-Nov-08,,
9-Nov-08,,
10-Nov-08,,
11-Nov-08,,
12-Nov-08,,
13-Nov-08,,
14-Nov-08,,
15-Nov-08,,
16-Nov-08,,
17-Nov-08,,
18-Nov-08,,
19-Nov-08,,
20-Nov-08,,
21-Nov-08,,
22-Nov-08,,
23-Nov-08,,
24-Nov-08,,
25-Nov-08,,
26-Nov-08,,
27-Nov-08,,
28-Nov-08,,
29-Nov-08,,
30-Nov-08,,
1-Dec-08,,
2-Dec-08,,
3-Dec-08,,
4-Dec-08,,
5-Dec-08,,
6-Dec-08,,
7-Dec-08,,
8-Dec-08,,
9-Dec-08,,
10-Dec-08,,
11-Dec-08,,
12-Dec-08,,
13-Dec-08,,
14-Dec-08,,
15-Dec-08,,
16-Dec-08,,
17-Dec-08,,
18-Dec-08,,
19-Dec-08,,
20-Dec-08,,
21-Dec-08,,
22-Dec-08,,
23-Dec-08,,
