Date,NDSI_Snow_Cover_Footprint,NDSI_Snow_Cover_FishIsland,NDSI_Snow_Cover_BigLake
1/1/2008,,,
1/2/2008,,,
1/3/2008,,,
1/4/2008,,,
1/5/2008,,,
1/6/2008,,,
1/7/2008,,,
1/8/2008,,,
1/9/2008,,,
1/10/2008,,,
1/11/2008,,,
1/12/2008,,,
1/13/2008,,,
1/14/2008,,,
1/15/2008,,,
1/16/2008,,,
1/17/2008,,,
1/18/2008,,,
1/19/2008,,,
1/20/2008,,,
1/21/2008,,,
1/22/2008,,,
1/23/2008,,,
1/24/2008,,,
1/25/2008,,,
1/26/2008,,,
1/27/2008,,,
1/28/2008,,,
1/29/2008,,,
1/30/2008,,,
1/31/2008,,,
2/1/2008,,,
2/2/2008,,,
2/3/2008,,,
2/4/2008,,,
2/5/2008,,,
2/6/2008,,,
2/7/2008,54.26,50.921,49.983
2/8/2008,54,52.145,52.264
2/9/2008,58.665,61.458,57.655
2/10/2008,58.302,58.088,56.783
2/11/2008,,,54.419
2/12/2008,60,59.169,59.026
2/13/2008,67.512,67.79,69.673
2/14/2008,58.219,63.233,64.016
2/15/2008,69.67,67.741,69.842
2/16/2008,,57.059,60.878
2/17/2008,65,66.744,65.951
2/18/2008,73.056,71.938,72.801
2/19/2008,71.781,71.251,71.536
2/20/2008,,,
2/21/2008,,,
2/22/2008,56,60.152,59.295
2/23/2008,,63.628,62.844
2/24/2008,,,60.79
2/25/2008,,55.934,57.626
2/26/2008,,,58.459
2/27/2008,,,64.069
2/28/2008,,61,61.847
2/29/2008,,,54.626
3/1/2008,,62,64.126
3/2/2008,70.814,65.767,71.11
3/3/2008,74.493,70.798,72.715
3/4/2008,81.219,76.889,75.465
3/5/2008,81.86,80.39,79.582
3/6/2008,,,
3/7/2008,,,
3/8/2008,,,
3/9/2008,,,
3/10/2008,,,
3/11/2008,,,
3/12/2008,70.637,68.832,69.541
3/13/2008,,,
3/14/2008,,,
3/15/2008,,,
3/16/2008,,59,58.412
3/17/2008,,,
3/18/2008,,,65.155
3/19/2008,64.422,65.099,66.108
3/20/2008,,65.231,66.12
3/21/2008,,65.078,66.02
3/22/2008,,,66.159
3/23/2008,,,
3/24/2008,69.149,68.864,69.494
3/25/2008,,,
3/26/2008,,73.901,74.476
3/27/2008,75.144,75.382,75.795
3/28/2008,,,65.557
3/29/2008,,,65.518
3/30/2008,76.14,75.25,76.234
3/31/2008,77.14,77.283,77.596
4/1/2008,,68.593,71.226
4/2/2008,,,64.797
4/3/2008,,,
4/4/2008,,,81
4/5/2008,82.14,82.313,81.823
4/6/2008,,,76.313
4/7/2008,80.367,81.276,81.134
4/8/2008,73.553,73.161,74.326
4/9/2008,,,65.629
4/10/2008,,,
4/11/2008,,67.633,67.803
4/12/2008,,71.441,70.052
4/13/2008,,,
4/14/2008,67.843,67.434,67.992
4/15/2008,73.502,71.139,73.408
4/16/2008,,,
4/17/2008,,,76.452
4/18/2008,77.005,77.888,78.463
4/19/2008,78.367,79.277,78.322
4/20/2008,,77.204,78.309
4/21/2008,,,
4/22/2008,80,79.994,79.744
4/23/2008,74.642,75.007,74.967
4/24/2008,77.005,77.995,78.141
4/25/2008,79.14,78.93,78.772
4/26/2008,,,70
4/27/2008,,,
4/28/2008,,,
4/29/2008,,,
4/30/2008,,,
5/1/2008,,,
5/2/2008,,,
5/3/2008,,,
5/4/2008,,,
5/5/2008,,,68.562
5/6/2008,,,
5/7/2008,79.502,80.097,79.683
5/8/2008,,,
5/9/2008,,,
5/10/2008,,,
5/11/2008,,,
5/12/2008,,,
5/13/2008,,,57.604
5/14/2008,,,
5/15/2008,,,
5/16/2008,84.86,84.121,84.387
5/17/2008,,87.818,88.806
5/18/2008,75.586,73.806,77.5
5/19/2008,,,76.29
5/20/2008,,76.478,74.194
5/21/2008,,,
5/22/2008,83.191,82.906,83.895
5/23/2008,68.535,74.951,80.077
5/24/2008,43.647,57.202,67.282
5/25/2008,0,30.57,41.171
5/26/2008,0,16.01,34.464
5/27/2008,,28,25.02
5/28/2008,,,60.927
5/29/2008,,,
5/30/2008,,,35.651
5/31/2008,0,6.277,7.93
6/1/2008,,67,65
6/2/2008,66,39.42,26.257
6/3/2008,0,17.002,33.407
6/4/2008,0,4.027,15.471
6/5/2008,,,
6/6/2008,,,0
6/7/2008,0,1.276,9.466
6/8/2008,0,0,7.283
6/9/2008,,,14.047
6/10/2008,0,0,10.432
6/11/2008,0,0.297,9.803
6/12/2008,0,2.392,4.546
6/13/2008,,4.886,2.855
6/14/2008,0,0,9.777
6/15/2008,0,0.548,10.464
6/16/2008,0,0,7.022
6/17/2008,0,0.886,2.957
6/18/2008,,,65.947
6/19/2008,0,0.48,6.94
6/20/2008,0,0,7.21
6/21/2008,0,0,5.191
6/22/2008,0,0,4.195
6/23/2008,0,0,3.651
6/24/2008,0,0,2.888
6/25/2008,0,0,0.958
6/26/2008,0,0,0.323
6/27/2008,0,0,0.081
6/28/2008,0,0,0.088
6/29/2008,0,0,0
6/30/2008,0,0,0
7/1/2008,,,11.218
7/2/2008,,,
7/3/2008,0,0,0
7/4/2008,0,0,0
7/5/2008,0,0,0
7/6/2008,0,0,0
7/7/2008,0,0,0
7/8/2008,0,0,0
7/9/2008,,,
7/10/2008,0,0,0
7/11/2008,,,0
7/12/2008,0,0,0
7/13/2008,0,0,0
7/14/2008,0,0,0
7/15/2008,,0.109,1.409
7/16/2008,,50.484,46.848
