Year,JD,Month,Day,Air Temp,Rainfall,Wind Speed,Wind direction,Net SW Radiation,Net LW Radiation ,Net Radiation,,,,,,,
2008,241,8,28,5.15,0,2.29,55.56,35.56,-11.61,23.96,,,,,,,
2008,242,8,29,2.70,0,3.33,317.18,52.27,-12.98,39.29,,,,,,,
2008,243,8,30,1.60,0.1,3.31,333.77,75.68,-18.38,57.29,,,,,,,
2008,244,8,31,1.69,0,2.49,309.56,37.07,-10.59,26.48,,,,,,,
2008,245,9,1,2.21,0,1.17,208.76,24.20,-7.71,16.48,,,,,,,
2008,246,9,2,4.50,0,2.40,98.79,64.76,-26.52,38.23,,,,,,,
2008,247,9,3,5.73,0,3.21,73.15,114.71,-52.53,62.20,,,,,,,
2008,248,9,4,4.57,0.1,3.86,66.44,93.07,-32.38,60.69,,,,,,,
2008,249,9,5,2.52,0,3.69,60.02,34.99,-7.24,27.75,,,,,,,
2008,250,9,6,2.54,0,2.50,183.53,48.21,-19.21,29.01,,,,,,,
2008,251,9,7,1.54,0,2.91,296.80,65.61,-20.33,45.28,,,,,,,
2008,252,9,8,3.26,0,3.60,296.43,23.85,-7.27,16.57,,,,,,,
2008,253,9,9,3.03,0.3,4.48,307.80,30.86,-10.72,20.14,,,,,,,
2008,254,9,10,1.06,0.1,2.13,144.50,44.48,-20.84,23.64,,,,,,,
2008,255,9,11,1.69,0,2.24,187.08,41.14,-17.61,23.53,,,,,,,
2008,256,9,12,1.95,3.2,3.10,265.38,43.18,-15.64,27.53,,,,,,,
2008,257,9,13,1.91,0,4.23,313.25,53.09,-33.38,19.72,,,,,,,
2008,258,9,14,0.65,0,1.66,137.56,46.42,-32.17,14.25,,,,,,,
2008,259,9,15,-0.54,0,2.70,110.21,90.91,-58.67,32.24,,,,,,,
2008,260,9,16,0.87,0,3.70,109.60,55.18,-45.94,9.24,,,,,,,
2008,261,9,17,0.54,0,4.56,79.24,82.36,-73.62,8.75,,,,,,,
2008,262,9,18,1.48,0,5.16,107.04,70.78,-63.88,6.89,,,,,,,
2008,263,9,19,3.70,0,5.77,124.05,66.57,-52.86,13.72,,,,,,,
2008,264,9,20,3.58,0,3.70,111.74,31.29,-28.62,2.67,,,,,,,
2008,265,9,21,3.22,14.8,3.35,273.47,9.65,-0.57,9.08,,,,,,,
2008,266,9,22,2.64,5.7,7.21,280.31,23.06,-6.19,16.87,,,,,,,
2008,267,9,23,1.65,1.5,4.66,305.45,22.18,-8.01,14.17,,,,,,,
2008,268,9,24,0.61,1,3.05,138.56,14.30,-3.24,11.07,,,,,,,
2008,269,9,25,0.14,0,2.82,23.88,26.26,-12.02,14.24,,,,,,,
2008,270,9,26,-0.94,0,2.38,66.33,27.26,-18.56,8.70,,,,,,,
2008,271,9,27,-0.79,0,2.94,68.37,15.20,-11.04,4.15,,,,,,,
2008,272,9,28,0.14,2.6,3.61,60.74,0.46,-0.54,-0.08,,,,,,,
2008,273,9,29,-0.12,6.1,8.36,82.52,2.30,-3.38,-1.08,,,,,,,
2008,274,9,30,-1.03,0,5.89,62.27,5.67,-22.19,-16.52,,,,,,,
2008,275,10,1,-0.73,0,4.98,179.55,3.98,-10.90,-6.92,,,,,,,
2008,276,10,2,-1.81,0,4.41,238.86,7.08,-39.29,-32.21,,,,,,,
2008,277,10,3,-0.24,4.6,8.09,39.84,0.86,-2.68,-1.81,,,,,,,
2008,278,10,4,-2.50,0.8,4.66,233.06,7.64,-31.31,-23.67,,,,,,,
